,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
5161,8074,10656,465243,1210011.0,THE GARRETT STATE BANK,Garrett,IN,46738,12/31/2016,8/17/2020,SM,120 W. King St.,G S B FINANCIAL CORP,4,0,0,5,1,De Kalb,,,11/1/1893,1/1/1934,3/31/2006,Stock,0,1,FED,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1,www.garrettstatebank.com,39825.0,4658.0,8335.0,19325.0,7507.0,36128,14740.0,8074.0,11612.0,1702.0
5162,16472,0,999355,,THE GARY STATE BANK,Gary,MN,56545,12/31/2016,8/17/2020,NM,112 Main Ave,,1,0,0,2,1,Norman,,,8/17/1946,8/17/1946,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Fargo,Minneapolis,Central,West,0,1,,2388.0,632.0,1423.0,333.0,0.0,100,100.0,0.0,0.0,0.0
5163,2285,12949,504311,1071388.0,THE GENOA BANKING COMPANY,Genoa,OH,43430,12/31/2016,8/17/2020,SM,801 Main St.,GENBANC INC,7,0,0,4,0,Ottawa,45780.0,"Toledo, OH",9/9/1902,1/1/1934,1/1/2012,Stock,0,0,FED,DIF,Chicago,CHICAGO,Columbus,Cleveland,Central,Central,0,1,www.genoabank.com,64027.0,5251.0,14969.0,24051.0,19755.0,52539,4433.0,9683.0,27981.0,10442.0
5164,2154,0,305237,,THE GEO. D. WARTHEN BANK,Sandersville,GA,31082,12/31/2016,8/17/2020,NM,216 N. Harris St.,,2,0,0,4,0,Washington,,,1/1/1871,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Savannah,Atlanta,Southern,Southeast,0,1,WWW.GDWBANK.COM,16326.0,3428.0,4999.0,5357.0,2542.0,13866,4307.0,4837.0,3142.0,1580.0
5165,899,0,663638,3420702.0,THE GERBER STATE BANK,Argenta,IL,62501,12/31/2016,8/17/2020,NM,110 E. Elm St.,GERBER BANCSHARES INC,2,0,0,2,1,Macon,19500.0,"Decatur, IL",10/1/1887,1/1/1934,1/9/2007,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Champaign,Chicago,Central,Central,0,1,www.gerberstatebank.com,6923.0,3287.0,2325.0,1311.0,0.0,4189,1264.0,1079.0,1846.0,0.0
5166,10467,0,557438,1916920.0,THE GIFFORD STATE BANK,Gifford,IL,61847,12/31/2016,8/17/2020,NM,304 S. Main St.,GIFFORD BCORP EMPLOYEE STK OWNERSHIP PLAN,4,0,0,2,1,Champaign,16580.0,"Champaign-Urbana, IL",1/1/1885,1/1/1934,7/9/2014,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Champaign,Chicago,Central,Central,0,1,http://www.giffordbank.com,26466.0,6193.0,10215.0,7727.0,2331.0,21830,6460.0,7221.0,5713.0,2436.0
5167,4673,0,928056,1064915.0,THE GIRARD NATIONAL BANK,Girard,KS,66743,12/31/2016,8/17/2020,N,100 E. Forest Ave.,GN BANKSHARES INC,15,0,1,2,0,Crawford,,,7/1/1929,1/1/1934,10/6/2015,Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Springfield Mo,Kansas City,Western,Western,0,1,http://www.gn-bank.com,74016.0,18747.0,26606.0,16865.0,11798.0,54577,18943.0,21139.0,11489.0,3006.0
5168,27567,0,508270,,THE GLEN BURNIE MUTUAL SAVINGS BANK,Glen Burnie,MD,21061,12/31/2016,8/17/2020,SB,"1 Crain Hwy, S",,1,0,0,5,0,Anne Arundel,12580.0,"Baltimore-Columbia-Towson, MD",5/5/1896,8/8/1989,3/31/2006,Non-Stock,0,0,FDIC,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5169,10236,15739,821157,1123803.0,THE GOOSE RIVER BANK,Mayville,ND,58257,12/31/2016,8/17/2020,NM,44 Main St. W.,GOOSE RIVER HOLDING CO,3,0,0,2,1,Traill,,,10/27/1881,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Fargo,Minneapolis,Central,West,0,1,www.gooseriverbank.com,15781.0,2432.0,5399.0,4722.0,3228.0,11400,1330.0,4167.0,2930.0,2973.0
5170,17114,0,745150,,THE GORHAM STATE BANK,Gorham,KS,67640,12/31/2016,8/17/2020,NM,129 Market St.,,2,0,0,2,0,Russell,,,1/1/1905,6/2/1952,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Hays,Kansas City,Western,Western,0,1,WWW.GORHAMSTATEBANK.COM,4258.0,1163.0,2284.0,811.0,0.0,1596,375.0,621.0,600.0,0.0
