cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"58415","0","3490871","3490880","PACIFIC ENTERPRISE BANK","Irvine","CA","92614","6/30/2020","8/17/2020","SM","17748 Sky Park Circle","PACIFIC ENTERPRISE BCORP","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","4/30/2007","4/30/2007","3/2/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","www.pacificenterprisebank.com","504983","504983","378876","0","59766","66341","0","0","","85627","59424","419356","148094","1103","270159","445559","59424","445559","372444","277743","295","137664","44862","113484","",""
"34940","0","2717012","2869733","PACIFIC MERCANTILE BANK","Costa Mesa","CA","92626","6/30/2020","8/17/2020","SM","949 S. Coast Drive, 3rd. Fl.","PACIFIC MERCANTILE BCORP","7","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/1999","3/1/1999","9/19/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.pmbank.com","1433277","1433277","1379115","0","7066","47096","0","0","","179293","84377","1253984","311808","692405","249772","1348900","599698","833579","1328312","562430","24334","168824","0","28553","",""
"26299","10618","577137","","PACIFIC NATIONAL BANK","Miami","FL","33131","6/30/2020","8/17/2020","N","1390 Brickell Ave.","","3","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/22/1985","7/22/1985","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","0","www.pnb.com","600446","600446","542885","0","7326","44065","6170","0","","102640","96927","497806","234056","7814","255936","503519","79454","520992","515786","457684","4129","0","0","44065","",""
"32172","7946","431172","3489594","PACIFIC PREMIER BANK","Irvine","CA","92614","6/30/2020","8/17/2020","SM","17901 Von Karman Ave","PACIFIC PREMIER BCORP INC","87","0","1","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","8/5/1983","8/5/1983","6/1/2020","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","http://www.ppbi.com","17150542","17150542","15767933","0","1296862","85747","0","0","","862097","640929","16288445","10975841","3392171","1920432","16509613","6066381","11084161","15994509","8506341","110934","374284","374284","6233","",""
"57740","0","3293540","","PACIFIC VALLEY BANK","Salinas","CA","93901","6/30/2020","8/17/2020","NM","422 Main St.","","3","0","0","4","0","Monterey","41500","Salinas, CA","9/14/2004","9/14/2004","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.pacificvalleybank.com","385536","385536","385536","0","0","0","0","0","","202207","174643","183329","119878","16823","46629","210893","174643","210893","363467","199396","2710","0","0","0","",""
"57872","0","3303944","","PACIFIC WEST BANK","West Linn","OR","97068","6/30/2020","8/17/2020","NM","2040 8th Ave.","","2","0","0","4","0","Clackamas","38900","Portland-Vancouver-Hillsboro, OR-WA","11/5/2004","11/5/2004","2/14/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","www.bankpacificwest.com","151741","151741","149987","0","1754","0","0","0","","85592","68556","66149","43267","6780","16101","83185","68335","83406","148411","92908","354","0","0","2219","",""
"24045","0","494261","2875332","PACIFIC WESTERN BANK","Beverly Hills","CA","90212","6/30/2020","8/17/2020","NM","9701 Wilshire Blvd, # 101","PACWEST BCORP","81","0","1","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","8/26/1982","8/26/1982","6/28/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","www.pacwest.com","23040035","23040035","22148370","0","876983","14682","0","0","","3584350","760154","19455685","16730233","549953","2175499","22279881","8740998","14299037","20455534","9423582","358547","1935700","1931930","2503540","",""
"17563","12235","277820","1076329","PALMETTO STATE BANK","Hampton","SC","29924","6/30/2020","8/17/2020","NM","601 1st St, W.","PALMETTO STATE BANKSHARES INC","8","0","0","7","0","Hampton","","","1/1/1907","12/28/1955","4/25/2014","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.palmettostatebank.com","520198","520198","477087","1125","41986","0","0","0","","279433","279433","240765","73570","86923","80271","240765","143867","376331","492863","367911","15634","0","0","0","",""
"13990","0","90047","1201596","PALO SAVINGS BANK","Palo","IA","52324","6/30/2020","8/17/2020","NM","2801 Hollenbeck Rd.","BANKERS EQUITY CORP","1","0","0","2","1","Linn","16300","Cedar Rapids, IA","1/1/1908","3/3/1934","12/19/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.palosavingsbank.com","36292","36292","33616","0","2676","0","0","0","","13683","7526","22609","1789","6105","14715","28766","7526","28766","34998","31490","2679","249","249","0","",""
"34108","0","2343167","3618545","PAN AMERICAN BANK & TRUST","Melrose Park","IL","60160","6/30/2020","8/17/2020","NM","1440 W. N. Ave.","AMERICAN BCORP OF ILLINOIS INC","6","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","12/22/1995","12/22/1995","9/16/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","WWW.PANAMERBANK.COM","338179","338179","248740","0","74709","14730","0","0","","90725","65527","247454","104749","21403","121301","272652","56461","281718","289976","233151","7872","25976","15461","13409","",""
"24763","0","1013856","2860918","PANOLA NATIONAL BANK","Carthage","TX","75633","6/30/2020","8/17/2020","N","1510 W. Panola","PANOLA NATIONAL BANCSHARES INC","2","0","0","5","1","Panola","","","10/6/1983","10/6/1983","8/29/2014","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.panolanationalbank.com","108739","108739","105516","0","3223","0","0","0","","64390","39543","44349","7994","17242","19113","69196","39543","69196","104906","89711","2847","0","0","0","",""
"29676","3871","102874","","PAPER CITY SAVINGS ASSOCIATION","Wisconsin Rapids","WI","54494","6/30/2020","8/17/2020","SA","4200 8th St. S.","","3","0","0","8","0","Wood","","","1/1/1933","5/26/1958","7/21/2011","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.papercitysavings.com","160990","160990","160293","0","617","81","0","0","","23013","14534","137978","27602","25893","84482","146457","14735","146255","151986","153901","17428","0","0","0","",""
"58030","0","3368635","4977342","PARADISE BANK","Boca Raton","FL","33431","6/30/2020","8/17/2020","SM","2420 N. Fedl Hwy","PARADISE BCORP INC","3","0","0","4","1","Palm Beach","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/25/2005","7/25/2005","5/16/2016","Stock","0","0","FED","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.ParadiseBank.com","311275","311275","298017","0","1315","11943","0","0","","182968","140363","128307","59783","36190","32334","170912","135425","175850","298324","193247","182","0","0","12025","",""
"57874","0","3288452","4645324","PARAGON BANK","Memphis","TN","38119","6/30/2020","8/17/2020","NM","5400 Poplar Ave.","PARAGON FINL SOLUTIONS INC","6","0","1","4","0","Shelby","32820","Memphis, TN-MS-AR","1/19/2005","1/19/2005","5/6/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","http://www.bankparagon.com","418545","418545","406793","0","10510","1242","0","0","","221115","125684","197430","96332","6809","94289","292861","127423","291121","360037","338260","1992","51406","51406","0","",""
"57884","0","3308574","5119363","PARAMOUNT BANK","Hazelwood","MO","63042","6/30/2020","8/17/2020","NM","90 Village Sq. Shpctr.","PARAMOUNT FINANCIAL GROUP LLC","1","0","0","5","0","Saint Louis","41180","St. Louis, MO-IL","12/30/2004","12/30/2004","7/26/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.paramountbank.com","100191","100191","70164","0","10101","19926","0","0","","16308","16308","83883","10714","526","72643","83883","4150","96041","66743","91207","1389","28555","28555","17148","",""
"13054","13185","518354","4281197","PARK BANK","Holmen","WI","54636","6/30/2020","8/17/2020","NM","1200 Main St.","GOLDEN OAK BANCSHARES INC","3","0","0","4","0","La Crosse","29100","La Crosse-Onalaska, WI-MN","1/1/1909","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Minneapolis","Central","Central","0","1","secure.helloparkbank.com","51512","51512","50634","0","878","0","0","0","","20737","20737","30775","16185","10908","3681","30775","15722","35790","51262","45232","755","0","0","0","",""
"34038","0","2316714","2536857","PARK RIDGE COMMUNITY BANK","Park Ridge","IL","60068","6/30/2020","8/17/2020","NM","626 Talcott Rd.","COMMUNITY BANK CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","7/3/1995","7/3/1995","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.timetobank.com","313796","313796","313796","0","0","0","0","0","","91433","67260","222363","56940","107174","58249","246536","67260","246536","304565","218833","10483","0","0","0","",""
