,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
2085,34150,0,2356091,2356082.0,FIRST UNITED BANK AND TRUST COMPANY,Madisonville,KY,42431,6/30/2020,8/17/2020,NM,162 N. Main St.,FIRST UNITED BCORP INC,5,0,0,4,1,Hopkins,,,3/29/1996,3/29/1996,11/4/2016,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Hopkinsville,St. louis,Central,Southeast,0,1,www.efirstunitedbank.com,24136.0,13816.0,8834.0,22087.0,6606.0,425.0,9138.0,1275.0,7285.0,578.0,0.0
2086,4239,12231,509950,1058398.0,FIRST UNITED BANK AND TRUST COMPANY,Durant,OK,74701,6/30/2020,8/17/2020,NM,1400 W. Main St.,SPEND LIFE WISELY CO INC,80,0,1,4,0,Bryan,,,1/1/1900,1/1/1934,11/10/2016,Stock,0,1,FDIC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,0,www.firstunitedbank.com,477190.0,1119232.0,673398.0,525980.0,325319.0,71725.0,473539.0,102859.0,228772.0,139353.0,2555.0
2087,7886,12526,127224,2687601.0,FIRST UNITED NATIONAL BANK,Fryburg,PA,16326,6/30/2020,8/17/2020,N,19535 Rt. 208,FRYBURG BANKING CO INC,6,0,0,8,0,Clarion,,,8/2/1909,1/1/1934,2/25/2019,Stock,0,0,OCC,DIF,New York,NEW YORK,Wexford,Cleveland,Northeastern,Northeast,0,1,www.fun-bank.com,35571.0,17808.0,5472.0,16742.0,16127.0,15038.0,6576.0,913.0,1872.0,1459.0,2332.0
2088,17077,10112,259330,1086168.0,FIRST US BANK,Birmingham,AL,35243,6/30/2020,8/17/2020,NM,"3291 Us. Hwy. 280, Ste 100",FIRST US BANCSHARES INC,20,0,1,4,0,Clarke,,,1/21/1952,1/21/1952,8/31/2018,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Shelby,Atlanta,Southern,Southeast,0,1,www.firstusbank.com,108144.0,94355.0,55339.0,90402.0,45982.0,10777.0,28324.0,8531.0,12921.0,5454.0,1418.0
2089,22738,0,207872,1027992.0,FIRST UTAH BANK,Salt Lake City,UT,84109,6/30/2020,8/17/2020,NM,3826 S. 2300 E.,FIRST UTAH BCORP,6,0,0,4,0,Salt Lake,41620.0,"Salt Lake City, UT",10/19/1978,10/19/1978,10/24/2019,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Salt Lake City,San Francisco,Western,West,0,1,http://firstutahbank.com,19966.0,96440.0,11238.0,56982.0,38559.0,9627.0,15030.0,2119.0,6911.0,6000.0,0.0
2090,58201,0,3350658,4547286.0,FIRST VISION BANK OF TENNESSEE,Tullahoma,TN,37388,6/30/2020,8/17/2020,SM,1401 N. Jackson St.,FIRST VISION FINANCIAL INC,4,0,0,4,0,Coffee,,,11/28/2005,11/28/2005,12/31/2008,Stock,0,0,FED,DIF,Dallas,DALLAS,Nashville,Atlanta,Southern,Southeast,0,1,http://www.firstvisionbank.com,17776.0,40174.0,12126.0,32265.0,13559.0,0.0,36464.0,7861.0,25416.0,3187.0,0.0
2091,10307,10396,234739,1081716.0,FIRST VOLUNTEER BANK,Chattanooga,TN,37402,6/30/2020,8/17/2020,NM,728 Broad St.,FIRST VOLUNTEER CORP,24,0,1,4,0,Hamilton,16860.0,"Chattanooga, TN-GA",5/3/1904,1/1/1934,7/28/2015,Stock,0,1,FDIC,DIF,Dallas,DALLAS,Knoxville,Atlanta,Southern,Southeast,0,1,www.firstvolunteer.com,88798.0,64696.0,35848.0,92877.0,21293.0,3477.0,39479.0,12152.0,23872.0,2928.0,527.0
2092,13083,14048,34742,2628994.0,FIRST WESTERN BANK,Booneville,AR,72927,6/30/2020,8/17/2020,SM,80 W Main St,FIRST W BANCSHARES EMPLOYEE STK OWNERSHIP TR,11,0,0,4,0,Logan,,,4/18/1910,1/1/1934,9/27/2017,Stock,0,1,FED,DIF,Dallas,DALLAS,Little Rock,St. louis,Southern,Southeast,0,1,http://www.fwbank.com,55579.0,68001.0,34210.0,71224.0,18144.0,1.0,22115.0,6114.0,13601.0,2400.0,0.0
2093,19123,0,687951,1127650.0,FIRST WESTERN BANK & TRUST,Minot,ND,58701,6/30/2020,8/17/2020,SM,900 S. Broadway,WESTBRAND INC,5,0,1,4,0,Ward,,,5/11/1964,5/11/1964,10/20/2017,Stock,0,1,FED,DIF,Kansas City,KANSAS CITY,Fargo,Minneapolis,Central,West,0,1,www.firstwestern.bank,227107.0,138049.0,29396.0,127973.0,139269.0,68517.0,61514.0,5323.0,25125.0,15229.0,15837.0
2094,31972,7674,715470,,FIRST WESTERN FEDERAL SAVINGS BANK,Rapid City,SD,57709,6/30/2020,8/17/2020,SA,402 Main St.,,1,0,0,5,1,Pennington,39660.0,"Rapid City, SD",6/6/1979,6/6/1979,7/21/2011,Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Sioux Falls,Minneapolis,Western,West,0,1,www.fwfsb.com,2057.0,26225.0,8714.0,17336.0,2232.0,0.0,1952.0,597.0,1355.0,0.0,0.0
