,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
839,7461,CENTRIC BANK,Harrisburg,PA,17112,1,www.CentricBank.com,51163.0,105135.0,58842.0,59777.0,37564.0,115.0,75738.0,21635.0,33869.0,6234.0,14000.0
840,58158,"CENTRUST BANK, NATIONAL ASSOCIATION",Northbrook,IL,60062,1,http://www.centrustbank.com,10141.0,41603.0,15081.0,26111.0,9945.0,607.0,17356.0,3759.0,7529.0,5302.0,765.0
841,28362,CENTURY BANK,Santa Fe,NM,87501,1,www.mycenturybank.com,44138.0,30304.0,21734.0,32536.0,16310.0,3862.0,10919.0,2039.0,3997.0,4622.0,260.0
842,14051,CENTURY BANK,Shenandoah,IA,51601,1,,6408.0,2434.0,1904.0,4156.0,1884.0,899.0,1938.0,1082.0,253.0,603.0,0.0
843,11448,CENTURY BANK,Lucedale,MS,39452,1,www.centurybankms.com,23391.0,18877.0,8183.0,16872.0,11313.0,5900.0,14057.0,5009.0,5747.0,915.0,2386.0
844,5015,CENTURY BANK AND TRUST,Coldwater,MI,49036,1,www.centurybankandtrust.com,13557.0,5374.0,4443.0,8094.0,6142.0,252.0,3436.0,1108.0,1541.0,787.0,0.0
845,147,CENTURY BANK AND TRUST,Milledgeville,GA,31061,1,www.centurybankonline.com,31403.0,16535.0,6067.0,16192.0,16119.0,9560.0,4506.0,0.0,253.0,2381.0,1872.0
846,19943,CENTURY BANK AND TRUST COMPANY,Somerville,MA,2145,1,www.centurybank.com,119244.0,157427.0,65793.0,117727.0,73114.0,20037.0,341593.0,113730.0,156371.0,62658.0,8834.0
847,35558,CENTURY BANK OF FLORIDA,Tampa,FL,33612,1,http://www.centurybk.com,8568.0,3813.0,583.0,3438.0,3802.0,4558.0,6489.0,1015.0,2160.0,1219.0,2095.0
848,35236,CENTURY BANK OF GEORGIA,Cartersville,GA,30120,1,www.centurybanknet.com,14875.0,11752.0,3340.0,10582.0,8523.0,4182.0,4980.0,0.0,1372.0,1877.0,1731.0
849,35450,"CENTURY BANK OF KENTUCKY, INC.",Lawrenceburg,KY,40342,1,http://www.centurybankky.com,33051.0,17266.0,8029.0,26500.0,13192.0,2596.0,5937.0,4439.0,1091.0,407.0,0.0
850,8296,CENTURY BANK OF THE OZARKS,Gainesville,MO,65655,1,WWW.CBOZARKS.COM,28637.0,11136.0,5763.0,15395.0,11136.0,7478.0,3104.0,543.0,0.0,979.0,1582.0
851,28860,CENTURY SAVINGS AND LOAN ASSOCIATION,Trinidad,CO,81082,1,centurysavings.com,13414.0,18371.0,7100.0,17361.0,6103.0,1222.0,19926.0,5309.0,9745.0,4622.0,251.0
852,30428,CENTURY SAVINGS BANK,Vineland,NJ,8360,1,www.centurysb.com,38622.0,17840.0,10197.0,23419.0,15460.0,7386.0,7988.0,576.0,3550.0,2228.0,1634.0
853,1993,CERESCOBANK,Ceresco,NE,68017,1,http://www.cerescobank.com,8855.0,3201.0,3886.0,5145.0,2924.0,101.0,2113.0,1533.0,276.0,304.0,0.0
854,28263,"CF BANK, NATIONAL ASSOCIATION",Worthington,OH,43085,1,www.cfbankonline.com,71129.0,119488.0,41262.0,70774.0,54693.0,23888.0,29110.0,2135.0,13492.0,3552.0,9931.0
855,34294,CFG COMMUNITY BANK,Lutherville,MD,21093,1,www.thecfgbank.com,34049.0,208993.0,45673.0,103382.0,89750.0,4238.0,26714.0,3435.0,13951.0,9037.0,291.0
856,29672,CFSBANK,Charleroi,PA,15022,1,www.cfsbank.com,87649.0,51612.0,13335.0,38970.0,54050.0,32905.0,43236.0,2058.0,12501.0,21640.0,7037.0
857,58595,"CHAIN BRIDGE BANK, NATIONAL ASSOCIATION",Mclean,VA,22101,1,www.chainbridgebank.com,5455.0,10682.0,2299.0,7940.0,4367.0,1531.0,18357.0,1214.0,5679.0,8435.0,3029.0
858,5615,CHAMBERS BANK,Danville,AR,72833,1,http://www.chambers-bank.com,127516.0,160310.0,43555.0,139694.0,104211.0,367.0,64813.0,22915.0,28292.0,12285.0,1320.0
859,13251,CHAMBERS STATE BANK,Chambers,NE,68725,1,http://www.chambersbank.com,4543.0,6236.0,3184.0,7159.0,434.0,2.0,2179.0,0.0,2179.0,0.0,0.0
860,57031,CHAMPION BANK,Parker,CO,80134,1,http://www.thechampionbank.com,4099.0,6087.0,2570.0,5338.0,1484.0,795.0,1536.0,0.0,1536.0,0.0,0.0
861,7356,CHAMPLAIN NATIONAL BANK,Elizabethtown,NY,12932,1,http://www.champlainbank.com,17276.0,14897.0,11047.0,12221.0,8493.0,412.0,24020.0,14605.0,8819.0,596.0,0.0
862,11570,CHAPPELL HILL BANK,Chappell Hill,TX,77426,1,www.chappellhillbank.com,1187.0,505.0,430.0,1141.0,108.0,13.0,1708.0,1708.0,0.0,0.0,0.0
863,26602,CHARLES RIVER BANK,Medway,MA,2053,1,http://charlesriverbank.com,23882.0,12180.0,5801.0,14798.0,12687.0,2776.0,17335.0,3751.0,6553.0,5389.0,1642.0
864,57450,CHARLES SCHWAB BANK,Henderson,NV,89074,0,www.schwabbank.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,33497,CHARLES SCHWAB SIGNATURE BANK,Henderson,NV,89074,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,33926,CHARLEVOIX STATE BANK,Charlevoix,MI,49720,1,www.charlevoixstatebank.com,6886.0,2949.0,1745.0,3598.0,3659.0,834.0,1311.0,251.0,1060.0,0.0,0.0
867,27086,CHARLOTTE STATE BANK & TRUST,Port Charlotte,FL,33953,1,www.charlottestatebankandtrust.com,4798.0,3006.0,2211.0,3557.0,1461.0,575.0,989.0,0.0,302.0,0.0,687.0
868,34686,CHARTER BANK,Johnston,IA,50131,1,www.charterbanker.com,21689.0,15514.0,3875.0,18274.0,12853.0,2202.0,6515.0,255.0,2887.0,1861.0,1512.0
869,58776,CHARTER BANK,Biloxi,MS,39532,1,,11032.0,25864.0,7321.0,15333.0,7430.0,6812.0,22074.0,7820.0,11355.0,2109.0,790.0
870,18660,CHARTER BANK,Corpus Christi,TX,78410,1,www.charterbankcc.com,7531.0,10284.0,6202.0,8180.0,2920.0,513.0,15960.0,7506.0,5512.0,2442.0,500.0
871,23137,CHARTER BANK,Eau Claire,WI,54701,1,http://www.charterbank.bank,114288.0,67914.0,38068.0,65516.0,55964.0,22654.0,30250.0,1769.0,23781.0,3591.0,1109.0
872,26185,CHARTER WEST BANK,West Point,NE,68788,1,https://www.charterwest.com,39815.0,26547.0,17164.0,23510.0,18920.0,6768.0,17420.0,4777.0,7792.0,3256.0,1595.0
873,30720,CHARTERBANK,West Point,GA,31833,1,,183181.0,155926.0,51255.0,146326.0,111311.0,30215.0,56210.0,8425.0,19489.0,22313.0,5983.0
874,23702,"CHASE BANK USA, NATIONAL ASSOCIATION",Wilmington,DE,19801,0,,42.0,0.0,1.0,11.0,30.0,0.0,42210000.0,38210000.0,0.0,0.0,4000000.0
875,35514,CHEAHA BANK,Oxford,AL,36203,1,http://WWW.CHEAHABANK.COM,29218.0,24884.0,11216.0,26429.0,9837.0,6620.0,30947.0,4089.0,24541.0,1756.0,561.0
876,18238,CHELSEA GROTON BANK,Norwich,CT,6360,1,http://www.chelseagroton.com,72727.0,27176.0,16172.0,31731.0,37067.0,14933.0,38819.0,8893.0,13678.0,15680.0,569.0
877,15427,CHELSEA SAVINGS BANK,Belle Plaine,IA,52208,1,http://www.chelseasavingsbank.com,16069.0,4376.0,4048.0,7160.0,5646.0,3592.0,4065.0,2400.0,366.0,1299.0,0.0
878,14009,CHELSEA STATE BANK,Chelsea,MI,48118,1,www.chelseastate.bank,17239.0,7214.0,4593.0,10588.0,6630.0,2642.0,1509.0,259.0,350.0,600.0,300.0
879,1003,CHEMICAL BANK,Midland,MI,48640,0,,1416770.0,661004.0,300381.0,987481.0,617090.0,172822.0,1285013.0,451850.0,604838.0,203560.0,24765.0
880,597,CHEMUNG CANAL TRUST COMPANY,Elmira,NY,14902,1,WWW.CHEMUNGCANAL.COM,85318.0,22290.0,31783.0,43990.0,24637.0,7198.0,8840.0,3666.0,1852.0,3022.0,300.0
881,951,CHEROKEE STATE BANK,Cherokee,IA,51012,1,www.cherokeestatebank.com,50417.0,13742.0,3971.0,29307.0,26853.0,4028.0,4062.0,1022.0,2469.0,571.0,0.0
