,cert,docket,fed_rssd,rssdhcr,name,city,state,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,Community_Banks,inst.webaddr,Total_Deposits,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,Transaction_Accounts,Demand_Deposit,Non-Transaction_Accounts,Money_Market_Deposit_Accounts,Other_Savings_Accounts,Time_Deposits,Time_and_Savings_Deposits,Non-Interest_Bearing,Interest-Bearing,Retail_Deposits,depins,irakeogh,bro,broins,DEPLSNB
1351,12054,7209,137915,3212091.0,EMIGRANT BANK,New York,NY,10017,6/30/2020,8/17/2020,SB,5 E. 42nd St.,NEW YORK PRIVATE B&T CORP,5,0,0,4,0,New York,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",9/30/1850,1/1/1934,11/23/2013,Stock,0,1,FDIC,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,1,www.emigrant.com,4888744,4888744,4715911,0,160317,12516,0,0,412584,412141.0,4476160,94269.0,3509844.0,872048.0,4476603.0,170126.0,4718618.0,4017524.0,4901043,27759.0,810117.0,805030.0,0.0
1352,57834,0,3268173,3212091.0,EMIGRANT MERCANTILE BANK,New York,NY,10017,6/30/2020,8/17/2020,NM,6 E. 43rd St.,NEW YORK PRIVATE B&T CORP,1,0,0,7,0,New York,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",7/9/2004,7/9/2004,3/31/2006,Stock,0,0,FDIC,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,1,,500,500,500,0,0,0,0,0,500,500.0,0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,250,0.0,0.0,0.0,0.0
1353,58632,0,3706013,4504533.0,EMPIRE NATIONAL BANK,Islandia,NY,11749,6/30/2020,8/17/2020,N,1707 Veterans Hwy.,EMPIRE BCORP INC,4,0,0,4,0,Suffolk,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",2/25/2008,2/25/2008,2/28/2008,Stock,0,0,OCC,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,1,http://www.empirenb.com,935532,935532,459953,0,449167,26412,0,0,87438,31335.0,848094,806340.0,11980.0,29772.0,904197.0,216046.0,719486.0,932366.0,369103,2636.0,0.0,0.0,16871.0
1354,57672,0,3277241,3439610.0,EMPIRE STATE BANK,Newburgh,NY,12550,6/30/2020,8/17/2020,SM,68 N. Plank Rd.,ES BANCSHARES INC,6,0,0,4,0,Orange,39100.0,                                        39100,6/28/2004,6/28/2004,1/1/2012,Stock,0,0,FED,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,1,http://www.esbna.com,374498,374498,365172,0,1243,8083,0,0,137583,134966.0,236915,10706.0,124473.0,101736.0,239532.0,122021.0,252477.0,334581.0,303762,4883.0,12141.0,12141.0,8082.0
1355,4789,14120,65858,1135824.0,EMPRISE BANK,Wichita,KS,67202,6/30/2020,8/17/2020,NM,257 N. Broadway St.,EMPRISE FINANCIAL CORP,36,0,0,4,1,Sedgwick,48620.0,"Wichita, KS",5/21/1910,1/1/1934,3/26/2011,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,1,www.emprisebank.com,1868322,1868322,1784211,12,84080,19,0,0,16558,16558.0,1851764,273973.0,1327070.0,250721.0,1851764.0,585102.0,1283220.0,1789092.0,1244216,43807.0,25500.0,25500.0,0.0
1356,34562,0,2594240,2777016.0,ENCORE BANK,Little Rock,AR,72211,6/30/2020,8/17/2020,SM,12224 Chenal Pkwy.,CAPITAL BANCSHARES INC,5,0,0,4,0,Pulaski,30780.0,"Little Rock-North Little Rock-Conway, AR",9/8/1997,9/8/1997,5/6/2019,Stock,0,0,FED,DIF,Dallas,DALLAS,Little Rock,St. louis,Southern,Southeast,0,1,http://www.bankencore.com,412160,412160,392340,0,9579,10241,0,0,58591,58591.0,353569,105482.0,769.0,247318.0,353569.0,46073.0,366087.0,192215.0,321252,1251.0,198204.0,198204.0,10204.0
1357,59099,0,5192496,,ENDEAVOR BANK,San Diego,CA,92101,6/30/2020,8/17/2020,NM,750 B St. Suite 3110,,1,0,0,4,0,San Diego,41740.0,"San Diego-Carlsbad, CA",1/22/2018,1/22/2018,8/10/2018,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Orange,San Francisco,Western,Western,0,1,www.bankendeavor.com,195270,195270,184076,0,1997,9196,0,0,123424,123424.0,71845,55539.0,370.0,15937.0,71845.0,117713.0,77557.0,190642.0,93485,0.0,0.0,0.0,8948.0
1358,57293,0,3121072,,ENERBANK USA,Salt Lake City,UT,84106,6/30/2020,8/17/2020,NM,"1245 E. Brickyard Rd, # 600",,1,0,0,6,0,Salt Lake,41620.0,"Salt Lake City, UT",6/3/2002,6/3/2002,3/2/2016,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Salt Lake City,San Francisco,Western,West,0,0,http://www.enerbank.com,2525246,2525246,2246641,0,5952,272653,0,0,0,0.0,2525246,378762.0,3023.0,2143461.0,2525246.0,3023.0,2522223.0,488500.0,2525648,0.0,2035681.0,2034446.0,244196.0
1359,27205,0,1186965,1081239.0,ENGLEWOOD BANK & TRUST,Englewood,FL,34223,6/30/2020,8/17/2020,NM,1111 S. Mccall Rd.,CREWS BANKING CORP,4,0,0,4,1,Charlotte,39460.0,"Punta Gorda, FL",4/4/1988,4/4/1988,1/1/2012,Stock,0,1,FDIC,DIF,Atlanta,ATLANTA,Tampa,Atlanta,Southern,Southeast,0,0,www.englewoodbankandtrust.com,340489,340489,339642,0,847,0,0,0,193647,168491.0,146842,12296.0,120659.0,13887.0,171998.0,168491.0,171998.0,338575.0,290384,2853.0,0.0,0.0,0.0
1360,13000,0,435059,1131956.0,ENNIS STATE BANK,Ennis,TX,75119,6/30/2020,8/17/2020,NM,815 W. Ennis Ave.,ENNIS BANCSHARES INC,4,0,0,4,1,Ellis,19100.0,"Dallas-Fort Worth-Arlington, TX",1/1/1933,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,Dallas,DALLAS,Dallas,Dallas,Southern,West,0,1,www.ennisstatebank.com,236669,236669,209159,0,27510,0,0,0,119917,87435.0,116752,67102.0,23250.0,26400.0,149234.0,87435.0,149234.0,229215.0,158067,2694.0,0.0,0.0,0.0
1361,34786,0,2730431,2730048.0,ENTERPRISE BANK,Allison Park,PA,15101,6/30/2020,8/17/2020,NM,4091 Mount Royal Boulvard,SEED MONEY LTD PARTNERSHIP,1,0,0,4,0,Allegheny,38300.0,"Pittsburgh, PA",10/23/1998,10/23/1998,11/27/2012,Stock,0,0,FDIC,DIF,New York,NEW YORK,Wexford,Cleveland,Northeastern,Northeast,0,1,http://www.enterprisebankpgh.com,244489,244489,237658,0,0,5852,0,979,75194,68285.0,169295,0.0,49311.0,119984.0,176204.0,6220.0,238270.0,136940.0,189400,3733.0,110080.0,105046.0,297.0
1362,33380,0,1836701,3306356.0,ENTERPRISE BANK,Omaha,NE,68144,6/30/2020,8/17/2020,SM,12800 W. Ctr. Rd.,ENTERPRISE HOLDING CO,3,0,0,4,0,Douglas,36540.0,"Omaha-Council Bluffs, NE-IA",4/10/1991,4/10/1991,12/16/2013,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,Omaha,Kansas City,Western,Western,0,1,https://www.ENTERPRISE.BANK,368037,368037,273343,0,0,94694,0,0,106487,50513.0,261550,41399.0,8203.0,211948.0,317524.0,50520.0,317517.0,294570.0,296765,5688.0,50033.0,50033.0,100726.0
