,cert,name_x,city_x,state_x,zip_x,cb_x,inst.webaddr_x,NTRCDSM_x,NTRTMMED_x,Quarter_Date_x,IDcd3less_x,IDcd3t12s_x,IDcd1t3s_x,NTRTMLGJ_x,name_y,city_y,state_y,zip_y,cb_y,inst.webaddr_y,NTRCDSM_y,NTRTMMED_y,Quarter_Date_y,IDcd3less_y,IDcd3t12s_y,IDcd1t3s_y,NTRTMLGJ_y
1455,13801,FARMERS AND MERCHANTS BANK,Laotto,IN,46763,1,www.fmfbank.com,5765.0,2338.0,2020-06-30,1246.0,4049.0,2561.0,2373.0,FARMERS AND MERCHANTS BANK,Laotto,IN,46763,1,www.fmfbank.com,5672.0,2340.0,2020-03-30,1661.0,3628.0,2171.0,2360.0
1456,16440,FARMERS AND MERCHANTS BANK,Sylvania,GA,30467,1,http://www.fmbanksylvania.com,12982.0,14922.0,2020-06-30,3894.0,14011.0,7114.0,3283.0,FARMERS AND MERCHANTS BANK,Sylvania,GA,30467,1,http://www.fmbanksylvania.com,13369.0,14572.0,2020-03-30,2966.0,14022.0,7829.0,3554.0
1457,4144,FARMERS AND MERCHANTS BANK,Maysville,OK,73057,1,http://www.fmbokonline.com,2295.0,919.0,2020-06-30,906.0,2082.0,211.0,846.0,FARMERS AND MERCHANTS BANK,Maysville,OK,73057,1,http://www.fmbokonline.com,2262.0,901.0,2020-03-30,1057.0,1897.0,192.0,839.0
1458,5377,FARMERS AND MERCHANTS BANK OF ASHLAND,Ashland,NE,68003,1,http://www.fmnb.com,6235.0,3849.0,2020-06-30,3815.0,4259.0,1768.0,1293.0,FARMERS AND MERCHANTS BANK OF ASHLAND,Ashland,NE,68003,1,http://www.fmnb.com,6146.0,3999.0,2020-03-30,3575.0,4882.0,1453.0,1290.0
1459,12355,FARMERS AND MERCHANTS BANK OF KENDALL,Kendall,WI,54638,1,www.fmbkendall.com,13271.0,8935.0,2020-06-30,5241.0,14141.0,2824.0,3820.0,FARMERS AND MERCHANTS BANK OF KENDALL,Kendall,WI,54638,1,www.fmbkendall.com,13997.0,9175.0,2020-03-30,4224.0,15571.0,3377.0,3810.0
1460,1225,FARMERS AND MERCHANTS BANK OF LONG BEACH,Long Beach,CA,90802,1,www.fmb.com,148458.0,225066.0,2020-06-30,116224.0,161676.0,73363.0,446065.0,FARMERS AND MERCHANTS BANK OF LONG BEACH,Long Beach,CA,90802,1,www.fmb.com,149372.0,227528.0,2020-03-30,106968.0,165935.0,79916.0,440395.0
1461,14024,"FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS",Mound City,KS,66056,1,www.fmbankmc.com,7094.0,3234.0,2020-06-30,425.0,2285.0,2520.0,5156.0,"FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS",Mound City,KS,66056,1,www.fmbankmc.com,6865.0,3324.0,2020-03-30,974.0,1676.0,2710.0,5154.0
1462,1660,FARMERS AND MERCHANTS BANK OF SOUTH CAROLINA,Holly Hill,SC,29059,1,www.fmbsc.com,16058.0,6533.0,2020-06-30,11744.0,9051.0,1796.0,18903.0,FARMERS AND MERCHANTS BANK OF SOUTH CAROLINA,Holly Hill,SC,29059,1,www.fmbsc.com,15919.0,6586.0,2020-03-30,11610.0,8922.0,1973.0,19391.0
1463,14056,FARMERS AND MERCHANTS BANK OF ST. CLAIR,Saint Clair,MO,63077,1,www.fmb4banking.com,33108.0,16383.0,2020-06-30,7803.0,24173.0,11669.0,7549.0,FARMERS AND MERCHANTS BANK OF ST. CLAIR,Saint Clair,MO,63077,1,www.fmb4banking.com,34052.0,17218.0,2020-03-30,6808.0,27959.0,11232.0,7518.0
1464,10492,FARMERS AND MERCHANTS SAVINGS BANK,Iowa City,IA,52246,1,www.fmbankonline.com,11217.0,6618.0,2020-06-30,3734.0,8291.0,4653.0,2942.0,FARMERS AND MERCHANTS SAVINGS BANK,Iowa City,IA,52246,1,www.fmbankonline.com,12158.0,6855.0,2020-03-30,2299.0,1900.0,9297.0,3939.0
